i3-scrot 1.1-1
i3exit 20170616-1
i3lock 2.9.1-2
i3status-manjaro 2.11-3
iana-etc 20170824-1
icu 59.1-2
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.18-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inotify-tools 3.14-4
inputproto 2.3.2-1
intel-ucode 20170707-1
inxi 2.3.40-1
iproute2 4.13.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.75-1
isousb 1.5-2
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
jbig2dec 0.13-1
jfsutils 1.1.15-4
js 24.2.0-4
json-c 0.12.1-1
json-glib 1.2.8-1
jsoncpp 1.8.1-1
kauth 5.38.0-1
kbd 2.0.4-1
kbproto 1.0.7-1
kcoreaddons 5.38.0-1
keyutils 1.5.10-1
kitemmodels 5.38.0-1
kmod 24-1
krb5 1.15.2-1
ladspa 1.13-6
lame 3.99.5-3
lcms 1.19-5
lcms2 2.8-2
ldb 1.2.2-1
ldns 1.7.0-3
less 487-1
lib32-alsa-lib 1.1.4.1-1
lib32-alsa-plugins 1.1.4-1
lib32-bzip2 1.0.6-2
lib32-expat 2.2.2-1
lib32-flex 2.6.4-1
lib32-gcc-libs 7.2.0-1
lib32-glew 2.1.0-1
lib32-glibc 2.26-2
lib32-glu 9.0.0-3
lib32-icu 59.1-1
lib32-libdrm 2.4.83-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libglvnd 0.2.999+g4ba53457-2
lib32-libice 1.0.9-1
lib32-libpciaccess 0.13.5-1
lib32-libsm 1.2.2-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libva 1.8.3-1
lib32-libva-vdpau-driver 0.7.4-5
lib32-libvdpau 1.1.1-2
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.9-1
lib32-libxml2 2.9.4+16+g07418011-1
lib32-libxmu 1.1.2-1
lib32-libxshmfence 1.2-1
lib32-libxt 1.1.5-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 5.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.2.2-0
lib32-mesa-demos 8.3.0-3
lib32-mesa-vdpau 17.2.2-0
lib32-ncurses 6.0+20170527-2
lib32-readline 7.0.003-1
lib32-util-linux 2.30.1-1
lib32-vulkan-intel 17.2.2-0
lib32-wayland 1.14.0-1
lib32-zlib 1.2.11-1
libaio 0.3.110-1
libappindicator-gtk2 12.10.0-12
libarchive 3.3.2-1
libass 0.13.7-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.6-1
libavc1394 0.5.4-3
libblockdev 2.12-1
libbluray 1.0.1-1
libbsd 0.8.6-1
libburn 1.4.8-1
libbytesize 1.0-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.94+1-2
libconfig 1.6-2
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.4-2
libcurl-compat 7.56.0-1
libcurl-openssl-1.0 7.54.1-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbi 0.9.0-3
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk2 16.04.0-2
libdc1394 2.2.5-1
libdca 0.0.5-5
libdmx 1.1.3-1
libdrm 2.4.83-1
libdv 1.0.0-7
libdvbpsi 1:1.3.1-1
libdvdcss 1.4.0-2
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libexif 0.6.21-3
libfdk-aac 0.1.5-1
libffi 3.2.1-2
libfm 1.2.5-1
libfm-extra 1.2.5-1
libfm-gtk2 1.2.5-1
libfontenc 1.1.3-1
libgcrypt 1.8.1-1
libgksu 2.0.12-7
libglade 2.6.4-5
libglvnd 0.2.999+g4ba53457-2
libgme 0.6.1-1
libgnome-keyring 3.12.0-2
libgpg-error 1.27-1
libgphoto2 2.5.14+6+g695b55887-1
libgpod 0.8.3-5
libgtop 2.36.0+2+ge0f97e7d-1
libgudev 231+1+g0841288-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-2
libiec61883 1.2.0-4
libimobiledevice 1.2.0-6
libindicator-gtk2 12.10.1-7
libinput 1.8.3-1
libisofs 1.4.8-1
libjpeg-turbo 1.5.2-1
libkate 0.4.1-5
libksba 1.3.5-1
libldap 2.4.45-4
liblouis 3.3.0-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmatroska 1.4.7-1
libmbim 1.14.2-1
libmm-glib 1.6.8-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmtp 1.1.14-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnftnl 1.0.7-1
libnghttp2 1.23.1-1
libnl 3.3.0-1
libnm 1.8.4-1
libnm-glib 1.8.4-1
libnotify 0.7.7-1
libofa 0.9.3-7
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpgm 5.2.122-2
libpipeline 1.4.2-1
libplist 2.0.0-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.18.0-1
libpthread-stubs 0.3-1
libpulse 11.1-1
libqmi 1.18.0-1
libraqm 0.3.0-2
libraw1394 2.1.2-1
librsvg 2:2.40.18+20+g63ddae4-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.14-1
libsoup 2.58.2-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-2
libssh 0.7.5-2
libssh2 1.8.0-2
libstemmer 0+337-2
libsynctex 2017.44590-5
libsystemd 234.11-9
libtasn1 4.12-2
libteam 1.26-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtool 2.4.6+40+g6ca5e224-1
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libupnp 1.6.21-2
libusb 1.0.21-2
libusbmuxd 1.0.10-2
libutempter 1.1.6-2
libutil-linux 2.30.2-1
libuv 1.14.1-1
libva 1.8.3-1
libva-mesa-driver 17.2.2-0
libva-vdpau-driver 0.7.4-2
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.24-1
libwbclient 4.7.0-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libx11 1.6.5-1
libx264 2:148.20170521-1
libx264-all 2:148.20170521-1
libx86emu 1.11-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.5+6+g07e227ed-1
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.30-2
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-2
lightdm 1:1.22.0-1
lightdm-gtk-greeter 1:2.0.2-1
lightdm-gtk-greeter-settings 1.2.1-5
linux-api-headers 4.12.7-1
linux-firmware 20170907.a61ac5c-1
linux49 4.9.53-1
linux49-r8168 8.044.02-24
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
logrotate 3.12.3-1
lsb-release 1.4-12
lshw B.02.18-2
lua 5.3.4-2
lua51 5.1.5-6
lvm2 2.02.174-2
lxappearance 0.6.3-1
lxinput 0.3.5-1
lxmenu-data 0.1.5-1
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
maia-console 1.2-6
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.13-1
manjaro-alsa 2012.11-1
manjaro-base-skel 20170630-1
manjaro-browser-settings 20161221-1
manjaro-firmware 20160419-1
manjaro-hello 0.5.6-1
manjaro-hotfixes 2015.12-3
manjaro-i3-settings 20171001-1
manjaro-icons 20170701-1
manjaro-keyring 20170919-1
manjaro-printer 20170501-1
manjaro-release 17.0.5-1
manjaro-settings-manager 0.5.3-6
manjaro-settings-manager-notifier 0.5.3-6
manjaro-system 20170915-1
mdadm 4.0-1
memtest86+ 5.01-2
menu-cache 1.0.2-2
mesa 17.2.2-0
mesa-demos 8.3.0-4
mesa-vdpau 17.2.2-0
mhwd 0.6.0-2
mhwd-amdgpu 1.2.0-2
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-1
mhwd-db 0.6.0-1
mhwd-nvidia 1:384.90-1
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.104-1
mhwd-tui 0.4-1
mime-types 9-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 23-2
mkinitcpio-busybox 1.26.1-1
mkinitcpio-openswap 0.1.0-1
mlocate 0.26-6
mobile-broadband-provider-info 20170310-1
moc 1:2.5.2-1
modemmanager 1.6.8-1
morc_menu 0.1-3
mousepad 0.4.0-2
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpg123 1.25.6-1
mtdev 1.1.5-1
mutagen 1.38-1
nano 2.8.7-1
ncdu 1.12-1
ncurses 6.0+20170902-1
neon 0.30.2-2
net-snmp 5.7.3-7
netctl 1.13-2
nettle 3.3-1
network-manager-applet 1.8.4-1
networkmanager 1.8.4-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 1.2.4-2
networkmanager-openvpn 1.8.1dev+10+ge4d8cda-1
networkmanager-pptp 1.2.4-2
networkmanager-vpnc 1.2.4-2
nfs-utils 2.1.1-4
nfsidmap 0.26-1
ninja 1.8.2-1
nitrogen 1.6.1-1
nm-connection-editor 1.8.4-1
noto-fonts 20170920-2
npth 1.5-1
nspr 4.17-1
nss 3.33-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
